id;user;uid;version;changeset;timestamp
4327786;Ajbelnuovo;1799626;9;47076250;2017-03-22T19:02:03Z
4327787;O fim;1842197;11;29477680;2015-03-14T18:23:07Z
4327793;Carlosassuncao92;6251065;19;50472349;2017-07-22T01:14:26Z
4327797;Ftrebien;401472;11;21455521;2014-04-02T12:44:37Z
4327799;Bonix-mapper;2030995;8;42259992;2016-09-19T02:05:53Z
4327801;Bonix-mapper;2030995;10;45817866;2017-02-04T23:36:09Z
4327802;Cyberknightmk;3167029;22;47992171;2017-04-21T06:21:50Z
4327803;Ygorre;578108;9;39957914;2016-06-11T18:23:34Z
4327804;Ygorre;578108;9;39957914;2016-06-11T18:23:35Z
4327805;Josedeonesio;1517646;5;18479529;2013-10-22T02:30:57Z
4327806;Woodpeck_repair;145231;28;52742084;2017-10-08T21:20:34Z
4328397;O fim;1842197;9;29477680;2015-03-14T18:23:06Z
4328434;Geogast;51045;25;54437731;2017-12-07T17:26:43Z
4328485;Carlosassuncao92;6251065;17;50489641;2017-07-22T21:35:49Z
4328496;Buskape;2593242;5;33761998;2015-09-02T22:04:01Z
4335774;Carlosassuncao92;6251065;17;50489641;2017-07-22T21:35:46Z
4587261;Erickdeoliveiraleal;463504;8;21317625;2014-03-26T03:57:25Z
4588380;Natinacio;2833574;14;39251260;2016-05-11T19:47:18Z
4588382;Carlosassuncao92;6251065;16;50472349;2017-07-22T01:14:24Z
4588387;Carlosassuncao92;6251065;15;50472349;2017-07-22T01:14:25Z
4591331;Naoliv;463507;6;41130767;2016-07-30T18:23:00Z
4591373;Natinacio;2833574;14;39251260;2016-05-11T19:47:17Z
4614927;Carlosassuncao92;6251065;22;50389215;2017-07-18T20:30:41Z
4614939;Carlosassuncao92;6251065;23;50472349;2017-07-22T01:14:27Z
4615019;Cyberknightmk;3167029;11;47961434;2017-04-20T07:08:53Z
4615020;Geogast;51045;17;42531715;2016-09-30T00:53:46Z
4615024;Cyberknightmk;3167029;23;47992171;2017-04-21T06:21:50Z
4743609;Carlosassuncao92;6251065;9;54224714;2017-12-01T05:52:48Z
4940652;Ajbelnuovo;1799626;18;46912702;2017-03-16T22:42:04Z
4940653;Naoliv;463507;16;32666244;2015-07-16T05:50:33Z
4941082;Ajbelnuovo;1799626;22;46913040;2017-03-16T22:58:54Z
5019970;Bonix-mapper;2030995;10;45831964;2017-02-05T15:29:18Z
5019973;Ajbelnuovo;1799626;7;52809472;2017-10-11T00:41:23Z
6057358;Sturm br;604619;12;50841313;2017-08-04T14:32:33Z
8140734;Silvano petrich;4887819;9;43966976;2016-11-26T16:38:24Z
8366904;Bonix-mapper;2030995;21;45671138;2017-01-31T02:25:14Z
8366905;Bonix-mapper;2030995;18;45671138;2017-01-31T02:25:14Z
8373530;Cxs;251808;10;17634257;2013-09-02T11:48:34Z
8376428;Erickdeoliveiraleal;463504;10;21317625;2014-03-26T03:58:41Z
8376429;Cxs;251808;9;17634257;2013-09-02T11:48:35Z
8376443;Ftrebien;401472;16;21455521;2014-04-02T12:47:39Z
8376458;Rodolfogb20;2402504;10;39450482;2016-05-20T13:18:23Z
8376459;O fim;1842197;11;41561939;2016-08-19T17:59:31Z
8377499;Naoliv;463507;9;32666244;2015-07-16T05:51:47Z
8377517;Skippern;31385;13;24901323;2014-08-21T06:26:30Z
8377533;Naoliv;463507;9;32666244;2015-07-16T05:51:33Z
8377541;Ajbelnuovo;1799626;9;49050994;2017-05-28T17:44:21Z
8377572;O fim;1842197;24;29477680;2015-03-14T18:23:07Z
11717864;Sturm br;604619;16;50884540;2017-08-06T13:01:47Z
11718136;Joseedteixeira;5282967;6;45919040;2017-02-08T14:48:09Z
11829667;Ftrebien;401472;6;21455521;2014-04-02T12:41:10Z
11837148;Dbusse;149876;2;14262335;2012-12-13T17:24:00Z
13805793;Cxs;251808;7;20178004;2014-01-24T14:24:23Z
13805795;Raphavictor;7483686;10;55508577;2018-01-17T00:18:42Z
14050466;Cxs;251808;9;19164711;2013-11-28T18:01:51Z
14050501;Gscholz;109705;11;48668761;2017-05-14T09:40:37Z
14050599;Ajbelnuovo;1799626;10;47082410;2017-03-22T23:46:49Z
14050630;Dbusse;149876;5;14262335;2012-12-13T17:23:56Z
14050869;Daniel2017021112;7305255;12;54800290;2017-12-20T23:22:41Z
14051146;Ajbelnuovo;1799626;12;53054448;2017-10-18T22:54:53Z
14051220;Ajbelnuovo;1799626;8;46765645;2017-03-11T16:03:12Z
14051302;O fim;1842197;7;21481482;2014-04-03T18:13:11Z
