id;key;value;type
4327786;Rodovia;Tronco de ligação;
4327786;Phelper.istas;2;
4327786;Velocidade Máxima;60;
4327786;Nome;Acesso Avenida Embaixador Macedo Soares (Local);
4327786;Sentido único;Sim;
4327786;Superfície;Pavimentado;
4327787;Rodovia;Autoestrada;
4327787;Phelper.istas;2;
4327787;Velocidade Máxima;70;
4327787;Nome;Acesso a Rodovia Anhanguera;
4327787;Sentido único;Sim;
4327787;Superfície;Pavimentado;
4327793;Rodovia;Autoestrada;
4327793;Phelper.istas;2;
4327793;Velocidade Máxima;100;
4327793;Nome;Rodovia Anhanguera;
4327793;Sentido único;Sim;
4327793;ref;"SP-330;BR-050";
4327793;Superfície;Asfalto;
4327793;Pedágio;Sim;
4327793;wikipedia;pt:Rodovia Anhanguera;
4327797;Rodovia;Tronco;
4327797;Phelper.istas;3;
4327797;Nome;Avenida Nações Unidas;
4327797;Sentido único;Sim;
4327797;Superfície;Pavimentado;
4327799;Destino;Não;
4327799;Rodovia;Autoestrada;
4327799;Phelper.istas;2;
4327799;Velocidade Máxima;70;
4327799;Sentido único;Sim;
4327799;Superfície;Pavimentado;
4327799;Phelper.istas;through|merge_to_left;
4327801;Possui passagem de pedestres;Não;
4327801;Rodovia;Tronco;
4327801;Phelper.istas;2;
4327801;Velocidade Máxima;50;
4327801;Nome;Acesso Marginal Tietê Local;
4327801;Sentido único;Sim;
4327801;Superfície;Pavimentado;
4327802;Rodovia;Autoestrada;
4327802;Phelper.istas;5;
4327802;Velocidade Máxima;90;
4327802;Velocidade Máxima;60;
4327802;Nome;"SP015;Via Professor Simão Faiguenboim;Avenida Marginal do Rio Pinheiros, Margem Leste";
4327802;Sentido único;Sim;
4327802;ref;SP-015;
4327802;Superfície;Asfalto;
4327803;Rodovia;Tronco de ligação;
4327803;Phelper.istas;3;
4327803;Velocidade Máxima;50;
4327803;Sentido único;Sim;
4327803;Superfície;Pavimentado;
4327804;Rodovia;Tronco;
4327804;Phelper.istas;2;
4327804;Velocidade Máxima;50;
4327804;Sentido único;Sim;
4327804;Superfície;Pavimentado;
4327805;Rodovia;Autoestrada;
4327805;Phelper.istas;2;
4327805;Velocidade Máxima;70;
4327805;Nome;Acesso Rodovia Castelo Branco;
4327805;Sentido único;Sim;
4327805;Superfície;Pavimentado;
4327806;Rodovia;Tronco;
4327806;Phelper.istas;3;
4327806;Velocidade Máxima;60;
4327806;Sentido único;Sim;
4327806;Superfície;Asfalto;
4328397;Rodovia;Autoestrada;
4328397;Phelper.istas;2;
4328397;Velocidade Máxima;90;
4328397;Nome;Não;
4328397;Sentido único;Sim;
4328397;Superfície;Pavimentado;
4328434;Nome;Pista Central;
4328434;Destino;"Ponte Atílio Fontana;Anhanguera;Rodoanel";
4328434;Possui passagem de pedestres;Não;
4328434;Rodovia;Autoestrada;
4328434;Phelper.istas;3;
4328434;Velocidade Máxima;90;
4328434;Velocidade Máxima;60;
4328434;Nome;Avenida Embaixador Macedo Soares;
4328434;Sentido único;Sim;
4328434;Superfície;Pavimentado;
4328485;Rodovia;Autoestrada;
4328485;Phelper.istas;3;
4328485;Velocidade Máxima;90;
4328485;Velocidade Máxima;60;
4328485;Nome;"SP015;Via Professor Simão Faiguenboim;Avenida Marginal do Rio Pinheiros, Margem Oeste, Pista Central";
4328485;Sentido único;Sim;
4328485;ref;"SP-015;BR-116";
4328485;Superfície;Asfalto;
4328496;Rodovia;Autoestrada;
4328496;Velocidade Máxima;50;
4328496;Sentido único;Sim;
4328496;Superfície;Asfalto;
4335774;Rodovia;Autoestrada;
4335774;Phelper.istas;4;
4335774;Velocidade Máxima;90;
4335774;Velocidade Máxima;60;
4335774;Nome;Avenida Marginal do Tietê Expressa;
4335774;Sentido único;Sim;
4335774;ref;"SP-015;BR-116";
4335774;Superfície;Asfalto;
4587261;Rodovia;Autoestrada;
4587261;Phelper.istas;2;
4587261;Sentido único;Sim;
4587261;Superfície;Pavimentado;
